operator_id,total_calls,incoming_calls,outgoing_calls,missed_incoming_calls,avg_wait_time,avg_call_duration,avg_total_call_duration,incoming_missed_ratio
904016,5175.0,55.0,5120.0,2.0,19.168115942028987,29.047729468599034,48.21584541062802,0.03636363636363636
904038,729.0,498.0,231.0,2.0,10.503429355281208,180.33058984910838,190.83401920438956,0.004016064257028112
904044,144.0,117.0,27.0,1.0,16.625,237.64583333333334,254.27083333333334,0.008547008547008548
904058,19.0,19.0,0.0,0.0,16.36842105263158,65.3157894736842,81.6842105263158,0.0
904200,20.0,8.0,12.0,0.0,18.15,27.45,45.6,0.0
904202,255.0,9.0,246.0,0.0,16.909803921568628,71.70980392156862,88.61960784313726,0.0
904204,64.0,5.0,59.0,0.0,18.640625,32.375,51.015625,0.0
904284,49.0,49.0,0.0,0.0,15.73469387755102,61.48979591836735,77.22448979591837,0.0
904344,12.0,7.0,5.0,6.0,8.416666666666666,22.75,31.166666666666668,0.8571428571428571
904372,4.0,4.0,0.0,0.0,23.25,11.75,35.0,0.0
905082,4.0,4.0,0.0,0.0,17.0,2.5,19.5,0.0
905104,536.0,326.0,210.0,8.0,12.753731343283581,74.93283582089552,87.68656716417911,0.024539877300613498
905300,29.0,29.0,0.0,6.0,22.413793103448278,19.896551724137932,42.310344827586206,0.20689655172413793
905308,3.0,0.0,3.0,0.0,5.0,0.0,5.0,
905430,949.0,114.0,835.0,1.0,18.858798735511066,85.22866174920969,104.08746048472076,0.008771929824561403
905432,971.0,12.0,959.0,0.0,19.54788877445932,60.17198764160659,79.71987641606592,0.0
905470,3.0,0.0,3.0,0.0,3.3333333333333335,31.333333333333332,34.666666666666664,
905472,11.0,2.0,9.0,0.0,10.0,9.909090909090908,19.90909090909091,0.0
905478,1.0,1.0,0.0,0.0,36.0,22.0,58.0,0.0
905480,1.0,0.0,1.0,0.0,5.0,0.0,5.0,
905538,3843.0,264.0,3579.0,2.0,15.720010408534998,49.27660681759043,64.99661722612542,0.007575757575757576
905542,2302.0,129.0,2173.0,3.0,13.46611642050391,59.48696785403997,72.95308427454387,0.023255813953488372
905564,816.0,58.0,758.0,1.0,14.470588235294118,58.006127450980394,72.47671568627452,0.017241379310344827
905566,957.0,47.0,910.0,2.0,13.67816091954023,49.23510971786834,62.913270637408566,0.0425531914893617
905570,102.0,0.0,102.0,0.0,10.068627450980392,63.931372549019606,74.0,
905574,479.0,5.0,474.0,0.0,8.417536534446764,32.76409185803758,41.18162839248434,0.0
905840,7.0,0.0,7.0,0.0,19.714285714285715,57.142857142857146,76.85714285714286,
905842,1253.0,2.0,1251.0,0.0,14.532322426177174,71.54668794892258,86.07901037509976,0.0
905844,1146.0,18.0,1128.0,0.0,20.48952879581152,60.70855148342059,81.19808027923212,0.0
905862,113.0,112.0,1.0,15.0,11.238938053097344,83.3716814159292,94.61061946902655,0.13392857142857142
905870,765.0,151.0,614.0,0.0,19.011764705882353,70.60653594771242,89.61830065359477,0.0
905930,487.0,80.0,407.0,0.0,8.938398357289527,88.16837782340862,97.10677618069815,0.0
905932,398.0,39.0,359.0,0.0,10.113065326633166,105.42462311557789,115.53768844221105,0.0
905934,22.0,1.0,21.0,0.0,7.636363636363637,222.86363636363637,230.5,0.0
906070,450.0,361.0,89.0,2.0,32.47555555555556,131.01777777777778,163.49333333333334,0.00554016620498615
